,Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Rating,Continent_company,Sub-region_company,Continent_origin,Sub-region_origin,Manufacturer,Company,isBlend,nutty,fruit,floral,spicy,cocoa,earthy,sweet,sour,roasty,dairy,grass,pungent,dirty,musty,smokey,rubbery,hammy,bland,off,bitter,astringent,C,L,S*,Sa,V
70,U.S.A.,2008.0,Indonesia,"Bali, Jembrana",70.0,2.75,Americas,Northern America,Asia,South-eastern Asia,Amano,Amano,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
71,U.S.A.,2009.0,Venezuela,Montanya,70.0,3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
72,U.S.A.,2010.0,Ecuador,Guayas,70.0,4.0,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
73,U.S.A.,2010.0,Dominican Republic,Dos Rios,70.0,3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
74,U.S.A.,2010.0,Venezuela,Chuao,70.0,3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
75,U.S.A.,2011.0,Papua New Guinea,Morobe,70.0,4.0,Americas,Northern America,Oceania,Melanesia,Amano,Amano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
76,Spain,2009.0,Ghana,Ghana,70.0,3.0,Europe,Southern Europe,Africa,Sub-Saharan Africa,Simon Coll,Amatller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
77,Spain,2009.0,Ghana,Ghana,85.0,3.0,Europe,Southern Europe,Africa,Sub-Saharan Africa,Simon Coll,Amatller,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
78,Spain,2009.0,Ecuador,Ecuador,70.0,2.75,Europe,Southern Europe,Americas,Latin America and the Caribbean,Simon Coll,Amatller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
79,Spain,2009.0,Ecuador,Ecuador,85.0,2.75,Europe,Southern Europe,Americas,Latin America and the Caribbean,Simon Coll,Amatller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
80,Russia,2017.0,Peru,Platan Bajo,70.0,3.5,Europe,Eastern Europe,Americas,Latin America and the Caribbean,Amazing Cacao,Amazing Cacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6901978417266187,0.2153776978417266,0.0341726618705036,0.016636690647482015,0.1564748201438849
81,Russia,2017.0,Peru,Maranon,70.0,3.0,Europe,Eastern Europe,Americas,Latin America and the Caribbean,Amazing Cacao,Amazing Cacao,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6901978417266187,0.2153776978417266,0.0341726618705036,0.016636690647482015,0.1564748201438849
82,Peru,2013.0,Peru,"Bellavista Gran Pajeten, San Martin",73.0,3.5,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Amazona,Amazona,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
83,Peru,2013.0,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,3.25,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Amazona,Amazona,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
84,Canada,2015.0,Peru,Peru,68.0,3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Ambrosia,Ambrosia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
85,Canada,2015.0,Madagascar,Madagascar,66.0,3.25,Americas,Northern America,Africa,Sub-Saharan Africa,Ambrosia,Ambrosia,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
86,Canada,2015.0,Dominican Republic,Dominican Republic,75.0,3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Ambrosia,Ambrosia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
87,Canada,2015.0,Papua New Guinea,Papua New Guinea,63.0,3.25,Americas,Northern America,Oceania,Melanesia,Ambrosia,Ambrosia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
88,Canada,2015.0,Venezuela,Venezuela,70.0,3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Ambrosia,Ambrosia,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
89,Canada,2015.0,Belize,Belize,64.0,3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Ambrosia,Ambrosia,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0
90,Italy,2006.0,Blend,Toscano Black,66.0,3.75,Europe,Southern Europe,Blend,Blend,Amedei,Amedei,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0
